id;user_id;book_id;chapter_id;lesson_id;completed;score;xp_earned;completed_at;created_at
d1dcdf0b-daca-4594-9359-e65067dbf198;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;27;genesis-27;true;1;15;2026-01-15 21:18:18.193+00;2026-01-15 21:18:18.351183+00
376d80fd-d728-476c-9c36-6d6ee719153f;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;2;genesis-2;true;5;65;2026-01-15 21:18:33.848+00;2026-01-15 21:18:33.811597+00
63106409-ce34-4af7-ae10-fc0fd194240d;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;28;genesis-28;true;1;10;2026-01-15 21:18:35.434+00;2026-01-15 21:18:35.594865+00
9ffc32a0-a7d5-4559-bcf5-b68c93f02934;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;29;genesis-29;true;2;25;2026-01-15 21:18:59.799+00;2026-01-15 21:18:59.975839+00
54a8e32d-b7e8-4633-859f-ce6aa0381310;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;32;genesis-32;true;2;30;2026-01-15 21:19:27.398+00;2026-01-15 21:19:27.605228+00
de3cd813-2d2d-47ff-be67-50a9ce50385d;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;35;genesis-35;true;1;10;2026-01-15 21:19:41.682+00;2026-01-15 21:19:41.83715+00
3734db31-4007-4504-956e-93a671da447b;a3de56ed-45b3-4f19-9d7e-511f9e431695;genesis;37;genesis-37;true;5;65;2026-01-15 21:20:43.559+00;2026-01-15 21:20:43.752346+00
c1ca168a-1975-483d-8b05-884d828c85d6;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;3;genesis-3;true;3;35;2026-01-15 21:20:52.708+00;2026-01-15 21:20:52.633819+00
459842d0-c092-4ae5-8bec-711c71abe01f;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;4;genesis-4;true;4;50;2026-01-15 21:22:02.921+00;2026-01-15 21:22:02.88355+00
72728e47-957f-46c8-a058-7ad6d3a963a4;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;5;genesis-5;true;3;40;2026-01-15 21:26:24.943+00;2026-01-15 21:26:24.920331+00
e818f835-40fe-4426-bd18-aa90c8e989e6;139306fe-4ee5-411f-966d-a86cf02a16da;genesis;6;genesis-6;true;5;60;2026-01-15 21:27:01.745+00;2026-01-15 21:27:01.685756+00
